series,country,code,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015
Energy use (kg of oil equivalent per capita),"Congo, Rep.",COG,225.260008028318,243.158748090549,239.216586272234,274.524030016081,281.717231038991,294.011486332757,369.666355606087,316.53514821263,327.754084886485,359.588472348647,375.78776816388,484.355028630781,539.803394192534,540.46314477016,528.170494465301,0
Energy use (kg of oil equivalent per capita),Costa Rica,CRI,729.754816152112,721.075384633421,746.180599430037,788.675611000719,920.698615597139,907.184528447119,967.918747425567,1029.26866241364,1032.83742367213,1013.58129744248,1019.78396659147,1009.79666725454,1014.66658833508,1026.88402206293,1029.07710086532,0
Energy use (kg of oil equivalent per capita),Cote d'Ivoire,CIV,383.63373441805,359.211191560243,374.153936277213,345.002823972257,474.560653227864,479.280919341187,460.341954918337,484.077835690332,475.602036381241,426.263095544401,451.921319153071,506.973457488469,538.310180756207,565.154768580741,565.689099881989,0
Energy use (kg of oil equivalent per capita),Croatia,HRV,1876.80577543774,2024.54692739535,2081.5982803113,2232.49343135508,2230.90321981136,2261.48377838797,2248.38007598421,2338.44769300478,2280.0706776914,2207.10302307847,2185.44698815741,2140.43613287975,2024.162701438,1994.06720293855,1914.45897489479,0
Energy use (kg of oil equivalent per capita),Cuba,CUB,1146.5696303817,1116.71891538973,1037.47717048785,1029.38582792648,1003.47200348508,947.353504364996,944.525138426482,898.448801446443,953.558886558183,1010.53350685396,1092.53670465502,1026.88847417762,1061.00109040159,1020.76301403582,1036.62300550915,0
Energy use (kg of oil equivalent per capita),Curacao,CUW,15720.1105632751,16994.1339201996,16662.9929182307,15566.6921916344,16180.8229998808,15178.8272385186,14581.1072012688,16222.4551563281,15326.4875239923,15608.4940033916,13710.0798235409,16064.0518195862,13395.3697859134,11727.5097190259,12650.8604378195,0
Energy use (kg of oil equivalent per capita),Cyprus,CYP,2254.94398348787,2192.90093525023,2183.67704597326,2332.64938624836,2145.7801792951,2141.90113217089,2189.26934100139,2272.99075056352,2367.87207637582,2276.39536277765,2165.74246153628,2065.48317346901,1910.71969466199,1630.76201859118,1641.61620767498,0
Energy use (kg of oil equivalent per capita),Czechia,CZE,3988.03849376645,4111.15248167077,4163.45010589476,4357.57266187417,4460.25993073914,4400.87811285159,4491.51613380532,4468.96035160506,4330.7126907018,4034.7435104926,4237.89674072334,4077.35605875256,4054.08501838826,3989.99141357576,3915.11358247856,3860.00296414044
Energy use (kg of oil equivalent per capita),Denmark,DNK,3489.61479626999,3583.95572278258,3535.09801372079,3727.83417869785,3597.17296049994,3487.63191419322,3728.17103871206,3622.59683255582,3501.51384669601,3329.21106734539,3510.79684978396,3230.18803095984,3091.58158027832,3125.3377601011,2872.57354732678,2816.61456539942
Energy use (kg of oil equivalent per capita),Djibouti,DJI,0,0,0,0,160.992780744779,165.640450589692,167.102144983897,163.51677705002,0,0,0,0,0,0,0,0
